image/key,en_caption_2,es_caption_2
000411001ff7dd4f,A rooster with two hens on a rocky slope with some bushes.,Gallo y gallina caminando por el pasto.
0004886b7d043cfd,Vintage brass metal box on the mirror tray.,Estuche y objetos dorados sobre un espejo en una mesa
0035b9006c333719,Begonia in the garden.,Acercamiento de una begonia en una maceta en un balcón
00371fbc0d38eab5,Cardboard box full of egg trays.,Caja de cartón abierta y llena de huevos en el piso
0046f363bfc646dd,Chocolate mousse with raspberries.,Mousse de chocolate servido en refractarios con menta y frambuesa.
00835f0fbe950715,Airplanes at the airport.,Avión de pasajeros estacionado en pista de aterrizaje de un aeropuerto.en una ciudad.
008856a1954b0372,A several people on rocks with flowing river surrounded by mountains.,Basura en rocas de río.
00a0b916fd5941a3,The yellow flower with a blurred background.,Acercamiento a flor amarilla con fondo de naturaleza desenfocado.
00a72fa141918070,A stream in a forest with trees in the background.,Río en medio del bosque.
00c9616a917be867,Brazilian carnival dancer.,Danzante y músicos brasileños durante carnaval con asistencia de público.
00fe1cf6d7237787,Food served in a plate with a fork and a spoon.,"Huevo benedictino sobre waffle con aderezo, tocino y lechuga."
011d1dcbfb65a15f,Island in the sea.,Isla con montaña en el mar.
016bc75fcfc8b2a4,The cars parked on the street surrounded by buildings.,Auto eléctrico estacionado sobre la calle.
01a500135407b136,A close-up of a white apple logo and two sentences of text below it on a blue t-shirt.,Playera azul con logo de empresa.
01b6066f2247bd4b,The grilled pork in the wooden tray on table.,Costillas de puerco a la parrilla sobre tabla de madera.
01c715ada9a9b193,Cup of coffee in a decorated cup on a saucer placed on a wooden table.,Café turco servido en taza y plato bellamente decorados a mano sobre mesa de madera.
01d1c8c162ae025d,A black sports car carrying a bicycle in a garage.,Coche convertible color negro estacionado con una bicicleta sobre la cajuela
01f5c22d73bfed30,A dog snuggled up with three sleeping puppies on a bed.,Hermosa perrita chihuahua de pelo largo con sus cachorritos en su camita
01fdc956f59149b3,Musical CDs on the shelf.,Estantes de discos clasificados por género.
022e46ffa30f672c,Jackfruit on a tree surrounded by green leaves.,Dos yacas maduras en la rama de un árbol durante el día
02400d99c2eaf5cc,A glass of watermelon juice with ice and a straw placed on a table.,"Agua de sandía servido en copa de cristal con popote, taza de café con cuchara sobre mesa."
0240e41bc74a1eaa,Two monkeys hanging on a slender tree in the forest.,Par de monos trepando tronco de árbol en la selva.
026b5db42693849b,A food item on a white plate with a spoon.,Platillo de carne frita con vegetales y salsa agridulce en un plato blanco
0275e655b6ab124d,A closeup of a bunch of many purple flowers surrounded by green leaves.,Florecillas púrpura en una planta de hojas verdes bajo el sol
02c2d738fbe1b585,Two small cars parked in a garage.,"Coches compactos italianos, verde y azul, en exhibición frente a una pared blanca"
02ceda7dc7da5160,Surgeons performing surgery on a child.,Tres cirujanos con batas azules y verdes realizando una cirugía en el quirófano
02ec05fac2e747a6,Shrimp with several ingredients on a white plate.,Camarones fritos con vegetales y hierbas en un plato blanco
02f3a888909fa7d0,A ship docked at a dock on a lake with several other docks and buildings and trees in the background.,Casa de lago y barco estacionado en muelleen área boscosa.
031ac8a5206fba86,Group of people playing and a few buildings in the background.,Encuentro de football en cancha observado por audiencia.
0378fe468292e979,A boy wearing a headset and playing a portable video game while traveling.,Pequeño niño jugando videojuegos en consola portátil.
03a0775162c71100,A hand with a henna design is on a carpet.,Mano femenina decorada con tatuaje de henna roja recargada sobre tapete floreado.
03abf85fbae6ceaa,Bunches of sunflowers on stems with leaves in tall buckets.,Girasoles depositados en cubetas.
